"","names","interval","lower","upper"
"111","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"112","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"113","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"114","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"115","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"116","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"117","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"118","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"119","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"120","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"121","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"122","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"123","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"124","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"125","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"126","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"127","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"128","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"129","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"130","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"131","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"132","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"133","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"134","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"135","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"136","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"137","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"138","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"139","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"140","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"141","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"142","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"143","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
